page_title,page_views,back_links_count,page_size (bytes)
"""1918 Haskell Indians football team""",8,66,4476
"""1941 Carnegie Tech Tartans football team""",5,66,7497
"""Exercises (album)""",64,65,4496
"""Deep tech""",332,65,9071
"""Clydesdale Bank £50 note""",5,64,4689
"""John Sullivan (catcher)""",6,64,5736
"""Chung Sze-yuen""",12,64,24351
"""1998 German Formula Three Championship""",2,64,33104
"""Sombrero, Anguilla""",16,64,13288
"""Benjamin S. Kelsey""",7,64,35844
"""Alfonso Scalzone""",1,64,3049
"""Maya cave sites""",11,63,18819
"""John Cahill (bishop)""",2,63,4985
"""Maria Komarova""",1,63,8484
"""Arakan campaign (1942–1943)""",65,63,20216
"""Samuel Fuller (priest)""",2,63,5220
"""LLYLM""",35,63,13227
"""1992 Tatarstani sovereignty referendum""",26,63,43423
"""Dhanotu, Kangra district""",3,63,2482
"""Romania at the 1932 Winter Olympics""",1,63,2783
"""Geoff Geary""",8,63,6342
"""2008–09 Ferencvárosi TC season""",5,63,69628
"""Battle of Ginnis""",27,62,8768
"""Rio Grande cutthroat trout""",26,62,8747
"""Igor Savić (football manager)""",3,62,3987
"""Mickey MacConnell""",12,62,2318
"""Omaha Supernovas""",106,62,12233
"""Time trial at the Olympics""",11,61,12635
"""Krippendorf-Dittman Company""",1,61,2701
